posX,posY,posZ,vx,vy,vz,angleFromWorldX
-0.004680863923955106,2.493413327558991,-0.0008283000179629823,-0.01606490203360853,-0.17795231890650026,0.0000024947190625970065,0.1099768362843187
-0.005753752049085222,2.4958904852618504,-0.000854583085507282,-0.01502798865687446,-0.17531116444261574,-0.0016029551751576055,0.1345554272414149
-0.003515601264970544,2.493352456089319,-0.0011245609681737802,-0.011517553688737555,-0.17295550698922355,-0.0015807464207243061,0.08497709446151874
-0.004532122291162372,2.4933654120519138,-0.001214919889783345,-0.016385518297474953,-0.17692404688137728,-0.0013871781967352945,0.10813522222127334
-0.0056060645552736274,2.495848615089264,-0.00133551401441958,-0.014960030130139046,-0.17377352429524856,-0.003076243744838454,0.13270804266169445
-0.002403954571010405,2.4931878181082827,-0.0007968169205796873,-0.0063288411034595655,-0.1681755949876711,-0.00004694987580483489,0.059490072418835103
-0.003277228119034456,2.4924166976868762,-0.0008764021034297641,-0.014645895749088632,-0.17759164903156727,-0.0010828288377432147,0.07946073072907683
-0.004327233269867651,2.493080824520628,-0.0008847004703679941,-0.016101948571029836,-0.17799053930577075,0.00000695371645074445,0.10350663875863471
-0.005414600990745278,2.495193292751499,-0.0008850573572004078,-0.016393832312056926,-0.17824736876170016,-0.000031768342163105044,0.1284127027638548
-0.0032185464148798025,2.4939330550364196,-0.0011842119871719608,-0.006312254381060679,-0.17184924985524713,-0.0036912001231328598,0.07992997644571125
-0.0040662382880651635,2.493142321101633,-0.0012349052238806199,-0.014297760818793928,-0.17583481212271115,-0.0003428145762583938,0.09939676304814818
-0.005071516940631995,2.4950122171634783,-0.0012647009208994271,-0.015244552829715714,-0.17672262619608747,-0.000407408184532611,0.12240950630734235
-0.0029591209661498402,2.4952189774550955,-0.0016505912674879097,0.1082844814960287,-0.288490296592107,-0.009556942660764525,0.07416905513972645
-0.002670757327812793,2.4923535349414885,-0.0008547813478139443,-0.012706950379885246,-0.1765709977539399,-0.0020305029031616657,0.067555373598425
-0.0036461721580670205,2.4926317410945806,-0.0009301688551937435,-0.01548451223898407,-0.17706094570814945,-0.0003017264608399813,0.08987546318079291
-0.004703168808622741,2.493523776466719,-0.0009327054446533732,-0.015988271430207267,-0.17787850877037306,0.000006511493901355343,0.11407585258489576
-0.004734538728237992,2.4968146815040004,-0.0010684878714684522,0.04482436035545049,-0.23587503091424789,-0.006437621605254841,0.11483056520026165
-0.003406902791899113,2.493016623118441,-0.0012768310056523225,-0.011973136294606383,-0.17344704632837069,-0.0004001157444844452,0.0864621451941162
